"","treat","age","educ","race","married","nodegree","re74","re75","re78","black","hispan"
"PSID124",0,18,12,"white",0,0,4729.67,3328.21,12602.05,0,0
"PSID125",0,31,16,"white",1,0,25862.32,3254.806,25564.67,0,0
"PSID126",0,27,12,"white",1,0,4043.927,3231.532,7240.86,0,0
"PSID127",0,18,11,"white",0,1,0,3226.161,15814.63,0,0
"PSID128",0,24,7,"white",1,1,7860.578,3213.629,0,0,0
"PSID129",0,23,12,"white",1,0,7856.66,3213.629,5535.564,0,0
"PSID130",0,50,12,"white",1,0,19929.66,3190.355,18597.19,0,0
"PSID131",0,19,12,"white",0,0,99.92261,3172.452,15436.33,0,0
"PSID132",0,23,10,"white",1,1,15811.28,3145.597,6398.556,0,0
"PSID133",0,51,12,"white",1,0,21001.38,3140.226,16015.6,0,0
"PSID134",0,19,11,"black",0,1,5607.422,3054.29,94.5745,1,0
"PSID135",0,20,10,"white",1,1,3099.56,2970.145,21141.83,0,0
"PSID136",0,20,11,"hispan",0,1,2868.367,2968.355,7403.41,0,1
"PSID137",0,21,12,"white",0,0,8128.998,2939.71,0,0,0
"PSID138",0,39,10,"white",1,1,0,2886,18761.22,0,0
"PSID139",0,36,5,"white",0,1,3814.692,2873.468,2751.527,0,0
"PSID140",0,19,9,"black",0,1,1079.556,2873.468,14344.29,1,0
"PSID141",0,42,6,"hispan",1,1,2425.572,2832.29,1907.745,0,1
"PSID142",0,20,7,"white",0,1,1902.448,2792.903,6098.578,0,0
"PSID143",0,23,12,"white",1,0,4954.986,2771.419,0,0,0
"PSID144",0,35,12,"white",1,0,1469.45,2719.5,0,0,0
"PSID145",0,18,12,"white",0,0,881.6701,2696.226,12120.31,0,0
"PSID146",0,43,8,"white",1,1,18338.74,2674.742,6395.601,0,0
"PSID147",0,37,14,"white",1,0,18501.36,2638.935,13429.58,0,0
"PSID148",0,24,10,"white",1,1,4719.874,2565.532,2173.736,0,0
"PSID149",0,51,12,"white",0,0,20742.76,2538.677,1019.631,0,0
"PSID150",0,22,11,"hispan",0,1,7341.373,2535.097,14187.65,0,1
"PSID151",0,19,12,"white",0,0,336.9939,2518.984,7118.209,0,0
"PSID152",0,52,0,"hispan",1,1,773.9104,2506.452,0,0,1
"PSID153",0,21,12,"white",0,0,2903.633,2456.323,4787.834,0,0
"PSID154",0,24,12,"white",0,0,9784.578,2413.355,0,0,0
"PSID155",0,35,8,"white",1,1,2241.401,2399.032,9460.406,0,0
"PSID156",0,20,13,"white",0,0,0,2352.484,0,0,0
"PSID157",0,17,7,"black",0,1,1054.086,2286.242,1613.677,1,0
"PSID158",0,18,10,"black",0,1,311.5234,2284.452,8154.095,1,0
"PSID159",0,28,12,"black",0,0,6285.328,2255.806,7310.313,1,0
"PSID160",0,25,14,"hispan",1,0,1622.273,2239.694,1892.968,0,1
"PSID161",0,40,12,"hispan",0,0,13616.9,2228.952,876.2919,0,1
"PSID162",0,50,3,"white",1,1,3136.786,2203.887,13976.34,0,0
"PSID163",0,48,8,"white",1,1,16050.31,2116.161,11600.15,0,0
"PSID164",0,17,7,"hispan",0,1,0,2082.145,6460.621,0,1
"PSID165",0,30,12,"white",1,0,7347.251,2080.355,14475.81,0,0
"PSID166",0,30,7,"white",1,1,574.0652,2010.532,366.4762,0,0
"PSID167",0,22,11,"white",1,1,3030.986,1976.516,0,0,0
"PSID168",0,27,12,"white",1,0,11493.06,1906.694,13419.24,0,0
"PSID169",0,25,9,"white",1,1,23377.97,1901.323,1898.879,0,0
"PSID170",0,21,14,"white",0,0,80.32994,1890.581,6389.69,0,0
"PSID171",0,17,10,"white",0,1,0,1888.79,19993.64,0,0
"PSID172",0,39,7,"white",0,1,7786.126,1844.032,9206.237,0,0
"PSID173",0,18,9,"black",0,1,1183.397,1822.548,803.8833,1,0
"PSID174",0,25,12,"white",1,0,2721.422,1754.516,1037.364,0,0
"PSID175",0,20,8,"white",1,1,2360.916,1741.984,0,0,0
"PSID176",0,19,13,"white",0,0,2366.794,1709.758,0,0,0
"PSID177",0,19,11,"white",0,1,0,1693.645,9853.481,0,0
"PSID178",0,22,12,"white",0,0,10137.25,1679.323,25564.67,0,0
"PSID179",0,18,11,"black",0,1,2068.986,1623.823,20243.38,1,0
"PSID180",0,21,10,"white",0,1,1767.259,1555.79,7675.312,0,0
"PSID181",0,24,12,"white",1,0,7643.1,1546.839,3262.82,0,0
"PSID182",0,18,11,"white",0,1,1273.523,1532.516,12489.75,0,0
"PSID183",0,17,10,"white",0,1,568.1874,1525.355,6231.573,0,0
"PSID184",0,17,10,"white",0,1,0,1503.871,7843.773,0,0
"PSID185",0,18,10,"white",0,1,0,1491.339,237.914,0,0
"PSID186",0,53,10,"hispan",0,1,7878.212,1489.548,13170.98,0,1
"PSID187",0,18,11,"black",0,1,1191.234,1478.806,3683.972,1,0
"PSID188",0,17,10,"hispan",0,1,0,1453.742,6918.716,0,1
"PSID189",0,26,12,"black",0,0,0,1448.371,0,1,0
"PSID190",0,39,5,"white",1,1,13082.02,1434.048,18323.81,0,0
"PSID191",0,18,12,"black",0,0,1579.169,1408.984,3057.416,1,0
"PSID192",0,23,13,"white",0,0,601.4949,1394.661,4975.505,0,0
"PSID193",0,18,8,"white",0,1,5023.56,1391.081,6756.166,0,0
"PSID194",0,28,10,"white",1,1,7578.444,1383.919,2404.261,0,0
"PSID195",0,32,4,"white",1,1,0,1378.548,0,0,0
"PSID196",0,18,11,"black",0,1,0,1367.806,33.98771,1,0
"PSID197",0,40,10,"white",1,1,1543.902,1342.742,0,0,0
"PSID198",0,21,14,"white",0,0,8456.196,1330.21,16967.26,0,0
"PSID199",0,29,10,"hispan",0,1,3732.403,1323.048,6694.101,0,1
"PSID200",0,31,6,"white",0,1,2666.562,1321.258,0,0,0
"PSID201",0,46,7,"white",1,1,19171.43,1317.677,0,0,0
"PSID202",0,20,9,"hispan",1,1,0,1283.661,0,0,1
"PSID203",0,36,18,"white",1,0,3273.935,1269.339,18227.76,0,0
"PSID204",0,45,12,"white",1,0,16559.72,1265.758,7987.112,0,0
"PSID205",0,16,10,"white",0,1,1026.656,1224.581,6847.785,0,0
"PSID206",0,18,12,"white",0,0,818.9735,1208.468,2232.845,0,0
"PSID207",0,40,12,"hispan",0,0,11867.28,1195.935,3873.121,0,1
"PSID208",0,16,9,"white",0,1,0,1188.774,2451.548,0,0
"PSID209",0,16,10,"white",0,1,574.0652,1181.613,5578.418,0,0
"PSID210",0,28,5,"hispan",1,1,10967.98,1178.032,239.3917,0,1
"PSID211",0,20,12,"white",0,0,0,1147.597,15554.55,0,0
"PSID212",0,19,8,"white",1,1,39.18534,1136.855,5327.204,0,0
"PSID213",0,16,8,"white",0,1,0,1113.581,542.3257,0,0
"PSID214",0,20,11,"white",1,1,2547.047,1099.258,0,0,0
"PSID215",0,35,10,"white",1,1,4964.782,1086.726,1745.195,0,0
"PSID216",0,32,6,"hispan",1,1,979.6334,1036.597,0,0,1
"PSID217",0,32,16,"black",0,0,17135.75,1031.226,0,1,0
"PSID218",0,17,9,"black",0,1,0,981.0968,8900.347,1,0
"PSID219",0,16,7,"white",0,1,0,975.7258,4728.725,0,0
"PSID220",0,32,15,"white",0,0,489.8167,968.5645,7684.178,0,0
"PSID221",0,19,12,"white",0,0,815.055,964.9839,12059.73,0,0
"PSID222",0,40,12,"white",1,0,16851.65,961.4032,17717.94,0,0
"PSID223",0,50,7,"white",1,1,11473.47,956.0323,0,0,0
"PSID224",0,39,11,"white",0,1,0,930.9677,0,0,0
"PSID225",0,18,8,"hispan",0,1,0,902.3226,1306.31,0,1
"PSID226",0,39,10,"black",0,1,844.444,889.7903,701.9201,1,0
"PSID227",0,17,11,"hispan",0,1,0,873.6774,7759.542,0,1
"PSID228",0,17,5,"black",0,1,96.00407,868.3065,0,1,0
"PSID229",0,19,12,"white",0,0,2425.572,861.1452,2587.499,0,0
"PSID230",0,27,15,"white",0,0,0,857.5645,3392.86,0,0
"PSID231",0,18,11,"black",0,1,587.78,841.4516,7933.914,1,0
"PSID232",0,20,14,"white",1,0,0,805.6452,1454.083,0,0
"PSID233",0,20,12,"white",1,0,12145.49,791.3226,13683.75,0,0
"PSID234",0,19,13,"black",0,0,1714.358,785.9516,9067.33,1,0
"PSID235",0,24,8,"white",1,1,213.5601,760.8871,2340.719,0,0
"PSID236",0,27,12,"white",1,0,4222.22,751.9355,0,0,0
"PSID237",0,19,9,"white",0,1,773.9104,676.7419,5647.871,0,0
"PSID238",0,52,8,"black",1,1,5454.599,666,0,1,0
"PSID239",0,18,11,"hispan",0,1,0,630.1935,0,0,1
"PSID240",0,16,10,"hispan",0,1,0,630.1935,3892.332,0,1
"PSID241",0,18,12,"hispan",0,0,0,630.1935,4843.988,0,1
"PSID242",0,45,12,"white",0,0,4473.006,608.7097,0,0,0
"PSID243",0,21,14,"white",0,0,9708.167,594.3871,2256.488,0,0
"PSID244",0,36,8,"white",1,1,2715.544,585.4355,0,0,0
"PSID245",0,21,13,"white",0,0,513.3279,578.2742,0,0,0
"PSID246",0,41,7,"white",1,1,19573.08,565.7419,0,0,0
"PSID247",0,18,7,"white",0,1,491.776,558.5806,642.8111,0,0
"PSID248",0,39,9,"white",0,1,11230.52,537.0968,5752.79,0,0
"PSID249",0,19,3,"white",1,1,0,537.0968,0,0,0
"PSID250",0,32,13,"white",1,0,12553.02,524.5645,15353.58,0,0
"PSID251",0,16,9,"white",0,1,0,485.1774,4112.513,0,0
"PSID252",0,16,7,"white",0,1,658.3136,479.8065,6210.885,0,0
"PSID253",0,21,9,"black",0,1,1030.574,470.8548,1223.558,1,0
"PSID254",0,22,12,"white",1,0,12096.51,469.0645,14289.62,0,0
"PSID255",0,23,11,"hispan",1,1,8946.012,469.0645,4776.012,0,1
"PSID256",0,17,8,"black",0,1,0,451.1613,0,1,0
"PSID257",0,21,8,"white",1,1,5699.507,388.5,8844.194,0,0
"PSID258",0,18,10,"white",0,1,0,386.7097,0,0,0
"PSID259",0,24,12,"white",1,0,9051.813,327.629,8547.171,0,0
"PSID260",0,24,12,"black",1,0,4232.016,320.4677,1273.8,1,0
"PSID261",0,16,9,"white",0,1,0,320.4677,3707.616,0,0
"PSID262",0,20,8,"white",1,1,621.0876,306.1452,5551.819,0,0
"PSID263",0,42,8,"white",0,1,17925.33,300.7742,14116.72,0,0
"PSID264",0,17,8,"hispan",0,1,391.8534,300.7742,18891.26,0,1
"PSID265",0,19,8,"hispan",0,1,368.3422,300.7742,18510,0,1
"PSID266",0,17,9,"black",0,1,0,297.1935,54.67588,1,0
"PSID267",0,21,14,"white",0,0,107.7597,293.6129,7698.955,0,0
"PSID268",0,16,9,"black",0,1,0,277.5,3983.951,1,0
"PSID269",0,23,13,"black",0,0,172.4155,272.129,582.2243,1,0
"PSID270",0,16,9,"white",0,1,411.446,254.2258,1725.985,0,0
"PSID271",0,17,11,"hispan",0,1,803.2994,248.8548,5173.521,0,1
"PSID272",0,46,7,"white",0,1,1081.515,245.2742,0,0,0
"PSID273",0,32,10,"white",1,1,4145.809,238.1129,8245.714,0,0
"PSID274",0,18,11,"white",0,1,131.2709,218.4194,7503.896,0,0
"PSID275",0,23,12,"hispan",1,0,0,216.629,0,0,1
"PSID276",0,18,10,"white",1,1,0,211.2581,14053.18,0,0
"PSID277",0,19,10,"black",0,1,1056.045,205.8871,0,1,0
"PSID278",0,16,7,"black",0,1,133.2301,205.8871,6145.865,1,0
"PSID279",0,26,7,"white",1,1,1538.024,189.7742,650.1997,0,0
"PSID280",0,16,10,"white",0,1,0,189.7742,2136.793,0,0
"PSID281",0,17,10,"white",0,1,0,182.6129,6423.677,0,0
"PSID282",0,17,10,"white",0,1,0,171.871,1483.637,0,0
"PSID283",0,23,8,"white",1,1,33.30754,166.5,0,0,0
"PSID284",0,29,12,"white",1,0,14641.6,162.9194,9473.705,0,0
"PSID285",0,17,10,"white",0,1,0,152.1774,10301.23,0,0
"PSID286",0,49,8,"white",1,1,14684.7,136.0645,14963.46,0,0
"PSID287",0,20,10,"white",1,1,6563.544,134.2742,15363.92,0,0
"PSID288",0,40,16,"white",1,0,0,114.5806,0,0,0
"PSID289",0,19,10,"white",0,1,1933.796,112.7903,675.321,0,0
"PSID290",0,18,11,"white",0,1,1481.206,57.29032,1421.573,0,0
"PSID291",0,16,6,"black",0,1,0,44.75806,0,1,0
"PSID292",0,22,8,"white",1,1,105.8004,42.96774,209.8372,0,0
"PSID293",0,31,12,"black",1,0,0,42.96774,11023.84,1,0
"PSID294",0,20,11,"white",1,1,4478.884,39.3871,6280.338,0,0
"PSID295",0,17,11,"hispan",0,1,601.4949,10.74194,1913.656,0,1
"PSID296",0,50,12,"white",1,0,25862.32,0,25564.67,0,0
"PSID297",0,49,14,"white",1,0,25862.32,0,25564.67,0,0
"PSID298",0,47,9,"white",1,1,25862.32,0,25564.67,0,0
"PSID299",0,34,11,"hispan",1,1,22198.49,0,0,0,1
"PSID300",0,22,8,"black",1,1,16961.37,0,959.0445,1,0
"PSID301",0,27,12,"white",1,0,15509.56,0,12593.19,0,0
"PSID302",0,30,10,"white",1,1,14913.94,0,11563.21,0,0
"PSID303",0,52,12,"white",1,0,14780.71,0,25564.67,0,0
"PSID304",0,43,12,"white",1,0,13321.05,0,16860.86,0,0
"PSID305",0,27,9,"hispan",1,1,12829.28,0,0,0,1
"PSID306",0,35,13,"white",0,0,9537.711,0,11269.14,0,0
"PSID307",0,45,12,"white",1,0,9277.128,0,12108.49,0,0
"PSID308",0,22,11,"black",1,1,9049.853,0,9088.018,1,0
"PSID309",0,22,12,"white",1,0,9022.424,0,3342.618,0,0
"PSID310",0,23,11,"white",1,1,8910.745,0,4183.444,0,0
"PSID311",0,55,7,"white",1,1,8832.375,0,0,0,0
"PSID312",0,26,14,"white",0,0,8411.132,0,0,0,0
"PSID313",0,34,12,"white",0,0,8125.079,0,6032.08,0,0
"PSID314",0,22,11,"white",0,1,8013.401,0,5748.356,0,0
"PSID315",0,31,12,"white",0,0,6156.016,0,4094.78,0,0
"PSID316",0,19,12,"white",0,0,5797.47,0,2160.436,0,0
"PSID317",0,24,10,"white",1,1,5523.173,0,5040.525,0,0
"PSID318",0,36,12,"white",1,0,5374.269,0,0,0,0
"PSID319",0,20,9,"white",1,1,5229.283,0,15892.95,0,0
"PSID320",0,23,8,"white",1,1,4610.155,0,0,0,0
"PSID321",0,35,11,"white",1,1,3975.352,0,21963.45,0,0
"PSID322",0,23,12,"white",0,0,3893.063,0,16324.45,0,0
"PSID323",0,29,10,"white",0,1,3751.996,0,251.2135,0,0
"PSID324",0,24,9,"white",1,1,3438.513,0,818.6605,0,0
"PSID325",0,18,10,"white",0,1,3360.143,0,0,0,0
"PSID326",0,45,8,"black",0,1,3299.405,0,31.03226,1,0
"PSID327",0,21,13,"hispan",0,0,3015.312,0,17627.8,0,1
"PSID328",0,29,13,"white",1,0,2780.2,0,14339.86,0,0
"PSID329",0,21,15,"white",0,0,2629.336,0,1717.118,0,0
"PSID330",0,22,16,"black",0,0,2564.68,0,116.7404,1,0
"PSID331",0,24,12,"black",1,0,2355.039,0,2448.593,1,0
"PSID332",0,20,14,"white",0,0,2210.053,0,2813.591,0,0
"PSID333",0,19,6,"black",0,1,1955.348,0,14998.92,1,0
"PSID334",0,19,9,"hispan",0,1,1822.118,0,3372.172,0,1
"PSID335",0,19,12,"black",0,0,1681.051,0,0,1,0
"PSID336",0,20,13,"white",0,0,1657.54,0,913.235,0,0
"PSID337",0,19,12,"black",0,0,1655.58,0,0,1,0
"PSID338",0,26,5,"white",1,1,1573.291,0,3700.227,0,0
"PSID339",0,26,9,"hispan",0,1,1563.495,0,2862.356,0,1
"PSID340",0,23,12,"white",0,0,1504.717,0,0,0,0
"PSID341",0,20,9,"hispan",0,1,1500.798,0,12618.31,0,1
"PSID342",0,20,10,"white",0,1,1412.631,0,6290.682,0,0
"PSID343",0,36,11,"white",1,1,1404.794,0,0,0,0
"PSID344",0,39,12,"white",1,0,1289.198,0,1202.869,0,0
"PSID345",0,17,9,"black",0,1,1222.582,0,422.6298,1,0
"PSID346",0,55,3,"white",0,1,1208.868,0,0,0,0
"PSID347",0,28,8,"white",1,1,1202.99,0,19516.33,0,0
"PSID348",0,19,12,"hispan",0,0,1058.004,0,8923.991,0,1
"PSID349",0,37,7,"white",1,1,963.9593,0,0,0,0
"PSID350",0,16,9,"white",1,1,920.8554,0,15997.87,0,0
"PSID351",0,17,10,"white",0,1,646.558,0,9438.24,0,0
"PSID352",0,24,12,"black",0,0,566.2281,0,2284.565,1,0
"PSID353",0,19,11,"white",0,1,540.7576,0,3406.16,0,0
"PSID354",0,50,5,"black",1,1,411.446,0,9166.338,1,0
"PSID355",0,19,9,"black",0,1,384.0163,0,0,1,0
"PSID356",0,36,1,"black",0,1,348.7495,0,0,1,0
"PSID357",0,18,11,"white",0,1,321.3198,0,7722.599,0,0
"PSID358",0,16,7,"hispan",0,1,289.9715,0,7515.717,0,1
"PSID359",0,21,11,"white",1,1,246.8676,0,6708.879,0,0
"PSID360",0,55,6,"white",1,1,111.6782,0,0,0,0
"PSID361",0,37,12,"white",0,0,48.98167,0,877.7696,0,0
"PSID362",0,26,12,"hispan",1,0,47.0224,0,0,0,1
"PSID363",0,54,12,"white",1,0,0,0,0,0,0
"PSID364",0,50,12,"white",1,0,0,0,0,0,0
"PSID365",0,16,8,"white",0,1,0,0,2559.422,0,0
"PSID366",0,16,9,"hispan",0,1,0,0,0,0,1
"PSID367",0,18,10,"black",0,1,0,0,2281.61,1,0
"PSID368",0,40,11,"black",1,1,0,0,0,1,0
"PSID369",0,16,8,"white",0,1,0,0,0,0,0
"PSID370",0,16,9,"black",0,1,0,0,2158.959,1,0
"PSID371",0,26,14,"white",0,0,0,0,6717.745,0,0
"PSID372",0,20,9,"black",0,1,0,0,6083.8,1,0
"PSID373",0,20,12,"black",0,0,0,0,0,1,0
"PSID374",0,18,11,"black",0,1,0,0,0,1,0
"PSID375",0,46,11,"black",1,1,0,0,2820.98,1,0
"PSID376",0,17,8,"black",0,1,0,0,12760.17,1,0
"PSID377",0,16,9,"white",0,1,0,0,4974.028,0,0
"PSID378",0,30,10,"white",1,1,0,0,3151.991,0,0
"PSID379",0,33,12,"hispan",1,0,0,0,5841.453,0,1
"PSID380",0,34,12,"black",1,0,0,0,18716.88,1,0
"PSID381",0,21,13,"black",0,0,0,0,17941.08,1,0
"PSID382",0,29,11,"white",1,1,0,0,0,0,0
"PSID383",0,19,12,"white",0,0,0,0,0,0,0
"PSID384",0,31,4,"hispan",0,1,0,0,1161.493,0,1
"PSID385",0,19,12,"hispan",0,0,0,0,18573.55,0,1
"PSID386",0,20,12,"black",0,0,0,0,11594.24,1,0
"PSID387",0,55,4,"black",0,1,0,0,0,1,0
"PSID388",0,19,11,"black",0,1,0,0,16485.52,1,0
"PSID389",0,18,11,"black",0,1,0,0,7146.286,1,0
"PSID390",0,48,13,"white",1,0,0,0,0,0,0
"PSID391",0,16,9,"hispan",1,1,0,0,6821.186,0,1
"PSID392",0,17,10,"black",0,1,0,0,0,1,0
"PSID393",0,38,12,"white",1,0,0,0,18756.78,0,0
"PSID394",0,34,8,"white",1,1,0,0,2664.341,0,0
"PSID395",0,53,12,"white",0,0,0,0,0,0,0
"PSID396",0,48,14,"white",1,0,0,0,7236.427,0,0
"PSID397",0,16,9,"white",0,1,0,0,6494.608,0,0
"PSID398",0,17,8,"black",0,1,0,0,4520.366,1,0
"PSID399",0,27,14,"black",0,0,0,0,10122.43,1,0
"PSID400",0,37,8,"black",0,1,0,0,648.722,1,0
"PSID401",0,17,10,"black",0,1,0,0,1053.619,1,0
"PSID402",0,16,8,"white",0,1,0,0,0,0,0
"PSID403",0,48,12,"white",1,0,0,0,1491.026,0,0
"PSID404",0,55,7,"white",0,1,0,0,0,0,0
"PSID405",0,21,15,"white",0,0,0,0,0,0,0
"PSID406",0,16,10,"black",0,1,0,0,1730.418,1,0
"PSID407",0,23,12,"white",0,0,0,0,3902.676,0,0
"PSID408",0,46,11,"black",1,1,0,0,0,1,0
"PSID409",0,17,10,"white",0,1,0,0,14942.77,0,0
"PSID410",0,42,16,"white",0,0,0,0,23764.8,0,0
"PSID411",0,18,10,"black",0,1,0,0,5306.516,1,0
"PSID412",0,53,12,"black",0,0,0,0,0,1,0
"PSID413",0,17,10,"white",1,1,0,0,3859.822,0,0
"PSID414",0,17,6,"white",0,1,0,0,0,0,0
"PSID415",0,43,6,"white",1,1,0,0,0,0,0
"PSID416",0,34,12,"black",0,0,0,0,0,1,0
"PSID417",0,16,8,"hispan",0,1,0,0,12242.96,0,1
"PSID418",0,27,12,"white",1,0,0,0,1533.88,0,0
"PSID419",0,51,4,"black",0,1,0,0,0,1,0
"PSID420",0,39,2,"black",1,1,0,0,964.9555,1,0
"PSID421",0,55,8,"white",1,1,0,0,0,0,0
"PSID422",0,16,9,"white",0,1,0,0,5551.819,0,0
"PSID423",0,27,10,"black",0,1,0,0,7543.794,1,0
"PSID424",0,25,14,"white",0,0,0,0,0,0,0
"PSID425",0,18,11,"white",0,1,0,0,10150.5,0,0
"PSID426",0,24,1,"hispan",1,1,0,0,19464.61,0,1
"PSID427",0,21,18,"white",0,0,0,0,0,0,0
"PSID428",0,32,5,"black",1,1,0,0,187.6713,1,0
"PSID429",0,16,9,"white",0,1,0,0,1495.459,0,0
